name,type,category,population
British Virgin Islands,2,World,4442389262
British Virgin Islands,3,British Virgin Islands,15617
British Virgin Islands,3,World,5314176048
British Virgin Islands,4,British Virgin Islands,20104
British Virgin Islands,4,World,6147035599
British Virgin Islands,5,British Virgin Islands,27556
British Virgin Islands,5,World,6983757442
British Virgin Islands,6,British Virgin Islands,29366
British Virgin Islands,6,World,7424780395
British Virgin Islands,7,British Virgin Islands,30910
British Virgin Islands,7,World,7839219693
Brunei,1,Brunei,133343
Brunei,1,World,3694003318
Brunei,2,Brunei,187921
Brunei,2,World,4442212450
Brunei,3,Brunei,261928
Brunei,3,World,5313929737
Brunei,4,Brunei,333926
Brunei,4,World,6146721777
Brunei,5,Brunei,396053
Brunei,5,World,6983388945
Brunei,6,Brunei,421437
Brunei,6,World,7424388324
Brunei,7,Brunei,441725
Brunei,7,World,7838808878
Bulgaria,1,Bulgaria,8582950
Bulgaria,1,World,3685553711
Bulgaria,2,Bulgaria,8980606
Bulgaria,2,World,4433419765
Bulgaria,3,Bulgaria,8767778
Bulgaria,3,World,5305423887
Bulgaria,4,Bulgaria,8097691
Bulgaria,4,World,6138958012
Bulgaria,5,Bulgaria,7592273
Bulgaria,5,World,6976192725
Bulgaria,6,Bulgaria,7309253
Bulgaria,6,World,7417500508
Bulgaria,7,Bulgaria,6979175
Bulgaria,7,World,7832271428
Burkina Faso,1,Burkina Faso,5611666
Burkina Faso,1,World,3688524995
Burkina Faso,2,Burkina Faso,6932967
Burkina Faso,2,World,4435467404
Burkina Faso,3,Burkina Faso,9131361
Burkina Faso,3,World,5305060304
Burkina Faso,4,Burkina Faso,11882888
Burkina Faso,4,World,6135172815
Burkina Faso,5,Burkina Faso,16116845
Burkina Faso,5,World,6967668153
Burkina Faso,6,Burkina Faso,18718019
Burkina Faso,6,World,7406091742
Burkina Faso,7,Burkina Faso,21522626
Burkina Faso,7,World,7817727977
Burundi,1,Burundi,3497834
Burundi,1,World,3690638827
Burundi,2,Burundi,4312834
Burundi,2,World,4438087537
Burundi,3,Burundi,5483793
Burundi,3,World,5308707872
Burundi,4,Burundi,6307659
Burundi,4,World,6140748044
Burundi,5,Burundi,9126605
Burundi,5,World,6974658393
Burundi,6,Burundi,10727148
Burundi,6,World,7414082613
Burundi,7,Burundi,12220227
Burundi,7,World,7827030376
Cambodia,1,Cambodia,6708525
Cambodia,1,World,3687428136
Cambodia,2,Cambodia,6198959
Cambodia,2,World,4436201412
Cambodia,3,Cambodia,8910808
Cambodia,3,World,5305280857
Cambodia,4,Cambodia,12118841
Cambodia,4,World,6134936862
Cambodia,5,Cambodia,14363532
Cambodia,5,World,6969421466
Cambodia,6,Cambodia,15417523
Cambodia,6,World,7409392238
Cambodia,7,Cambodia,16396860
Cambodia,7,World,7822853743
Cameroon,1,Cameroon,6452787
Cameroon,1,World,3687683874
Cameroon,2,Cameroon,8519891
Cameroon,2,World,4433880480
Cameroon,3,Cameroon,11430520
Cameroon,3,World,5302761145
Cameroon,4,Cameroon,15091594
Cameroon,4,World,6131964109
Cameroon,5,Cameroon,19878036
Cameroon,5,World,6963906962
Cameroon,6,Cameroon,23012646
Cameroon,6,World,7401797115
Cameroon,7,Cameroon,26491087
Cameroon,7,World,7812759516
Canada,1,Canada,21434577
Canada,1,World,3672702084
Canada,2,Canada,24511510
Canada,2,World,4417888861
Canada,3,Canada,27657204
Canada,3,World,5286534461
Canada,4,Canada,30683313
Canada,4,World,6116372390
Canada,5,Canada,33963412
Canada,5,World,6949821586
Canada,6,Canada,35732126
Canada,6,World,7389077635
Canada,7,Canada,37888705
Canada,7,World,7801361898
Cape Verde,1,Cape Verde,287262
Cape Verde,1,World,3693849399
Cape Verde,2,Cape Verde,317234
Cape Verde,2,World,4442083137
Cape Verde,3,Cape Verde,364563
Cape Verde,3,World,5313827102
Cape Verde,4,Cape Verde,458251
Cape Verde,4,World,6146597452
Cape Verde,5,Cape Verde,521212
Cape Verde,5,World,6983263786
Cape Verde,6,Cape Verde,552166
Cape Verde,6,World,7424257595
Cape Verde,7,Cape Verde,582640
Cape Verde,7,World,7838667963
Cayman Islands,1,Cayman Islands,10533
Cayman Islands,1,World,3694126128
Cayman Islands,2,Cayman Islands,17100
Cayman Islands,2,World,4442383271
Cayman Islands,3,Cayman Islands,26027
Cayman Islands,3,World,5314165638
Cayman Islands,4,Cayman Islands,39658
Cayman Islands,4,World,6147016045
Cayman Islands,5,Cayman Islands,54074
Cayman Islands,5,World,6983730924
Cayman Islands,6,Cayman Islands,60911
Cayman Islands,6,World,7424748850
Cayman Islands,7,Cayman Islands,67311
Cayman Islands,7,World,7839183292
Central African Republic,1,Central African Republic,2067356
Central African Republic,1,World,3692069305
Central African Republic,2,Central African Republic,2415276
Central African Republic,2,World,4439985095
Central African Republic,3,Central African Republic,2809221
Central African Republic,3,World,5311382444
Central African Republic,4,Central African Republic,3759170
Central African Republic,4,World,6143296533
Central African Republic,5,Central African Republic,4660067
Central African Republic,5,World,6979124931
Central African Republic,6,Central African Republic,4819333
Central African Republic,6,World,7419990428
Central African Republic,7,Central African Republic,5343020
Central African Republic,7,World,7833907583
Chad,1,Chad,3667394
Chad,1,World,3690469267
Chad,2,Chad,4408230
Chad,2,World,4437992141
Chad,3,Chad,5827069
Chad,3,World,5308364596
Chad,4,Chad,8259137
Chad,4,World,6138796566
Chad,5,Chad,11894727
Chad,5,World,6971890271
Chad,6,Chad,14140274
Chad,6,World,7410669487
Chad,7,Chad,16644701
Chad,7,World,7822605902
Chile,1,Chile,9820481
Chile,1,World,3684316180
Chile,2,Chile,11469828
Chile,2,World,4430930543
Chile,3,Chile,13342868
Chile,3,World,5300848797
Chile,4,Chile,15351799
Chile,4,World,6131703904
Chile,5,Chile,17004162
Chile,5,World,6966780836
Chile,6,Chile,17870124
Chile,6,World,7406939637
Chile,7,Chile,19300315
Chile,7,World,7819950288
China,1,China,822534450
China,1,World,2871602211
China,2,China,982372466
China,2,World,3460027905
China,3,China,1153704252
China,3,World,4160487413
China,4,China,1264099069
China,4,World,4882956634
China,5,China,1348191368
China,5,World,5635593630
China,6,China,1393715448
China,6,World,6031094313
China,7,China,1424929781
China,7,World,6414320822
Colombia,1,Colombia,20905254
Colombia,1,World,3673231407
Colombia,2,Colombia,26176195
Colombia,2,World,4416224176
Colombia,3,Colombia,32601393
Colombia,3,World,5281590272
Colombia,4,Colombia,39215135
Colombia,4,World,6107840568
Colombia,5,Colombia,44816108
Colombia,5,World,6938968890
Colombia,6,Colombia,47119728
Colombia,6,World,7377690033
Colombia,7,Colombia,50930662
Colombia,7,World,7788319941
Comoros,1,Comoros,242351
