name,type,category,population
Croatia,3,Croatia,4873707
Croatia,3,Europe,715447090
Croatia,4,Croatia,4548434
Croatia,4,Europe,721544989
Croatia,5,Croatia,4368682
Croatia,5,Europe,731245252
Croatia,6,Croatia,4254815
Croatia,6,Europe,737280793
Croatia,7,Croatia,4096868
Croatia,7,Europe,741695328
Cuba,1,Cuba,8869636
Cuba,1,North America,306564970
Cuba,2,Cuba,9809107
Cuba,2,North America,358484254
Cuba,3,Cuba,10626680
Cuba,3,North America,410639745
Cuba,4,Cuba,11105791
Cuba,4,North America,474963793
Cuba,5,Cuba,11290417
Cuba,5,North America,531430234
Cuba,6,Cuba,11339894
Cuba,6,North America,559043956
Cuba,7,Cuba,11300698
Cuba,7,North America,582935895
Curacao,1,Curacao,150385
Curacao,1,North America,315284221
Curacao,2,Curacao,156851
Curacao,2,North America,368136510
Curacao,3,Curacao,155446
Curacao,3,North America,421110979
Curacao,4,Curacao,141424
Curacao,4,North America,485928160
Curacao,5,Curacao,159380
Curacao,5,North America,542561271
Curacao,6,Curacao,169572
Curacao,6,North America,570214278
Curacao,7,Curacao,189288
Curacao,7,North America,594047305
Cyprus,1,Cyprus,640804
Cyprus,1,Europe,655283187
Cyprus,2,Cyprus,679327
Cyprus,2,Europe,691847832
Cyprus,3,Cyprus,788500
Cyprus,3,Europe,719532297
Cyprus,4,Cyprus,948237
Cyprus,4,Europe,725145186
Cyprus,5,Cyprus,1129686
Cyprus,5,Europe,734484248
Cyprus,6,Cyprus,1187280
Cyprus,6,Europe,740348328
Cyprus,7,Cyprus,1237537
Cyprus,7,Europe,744554659
Czech Republic,1,Czech Republic,9795744
Czech Republic,1,Europe,646128247
Czech Republic,2,Czech Republic,10270060
Czech Republic,2,Europe,682257099
Czech Republic,3,Czech Republic,10301192
Czech Republic,3,Europe,710019605
Czech Republic,4,Czech Republic,10234710
Czech Republic,4,Europe,715858713
Czech Republic,5,Czech Republic,10464749
Czech Republic,5,Europe,725149185
Czech Republic,6,Czech Republic,10523798
Czech Republic,6,Europe,731011810
Czech Republic,7,Czech Republic,10530953
Czech Republic,7,Europe,735261243
Denmark,1,Denmark,4922963
Denmark,1,Europe,651001028
Denmark,2,Denmark,5125392
Denmark,2,Europe,687401767
Denmark,3,Denmark,5144623
Denmark,3,Europe,715176174
Denmark,4,Denmark,5340655
Denmark,4,Europe,720752768
Denmark,5,Denmark,5550849
Denmark,5,Europe,730063085
Denmark,6,Denmark,5677796
Denmark,6,Europe,735857812
Denmark,7,Denmark,5825641
Denmark,7,Europe,739966555
Djibouti,1,Djibouti,144379
Djibouti,1,Africa,365299969
Djibouti,2,Djibouti,324121
Djibouti,2,Africa,481212256
Djibouti,3,Djibouti,577173
Djibouti,3,Africa,637573456
Djibouti,4,Djibouti,742033
Djibouti,4,Africa,818203999
Djibouti,5,Djibouti,919199
Djibouti,5,Africa,1054308873
Djibouti,6,Djibouti,1006259
Djibouti,6,Africa,1200096183
Djibouti,7,Djibouti,1090156
Djibouti,7,Africa,1359581654
Dominica,1,Dominica,68895
Dominica,1,North America,315365711
Dominica,2,Dominica,72978
Dominica,2,North America,368220383
Dominica,3,Dominica,69481
Dominica,3,North America,421196944
Dominica,4,Dominica,68346
Dominica,4,North America,486001238
Dominica,5,Dominica,68755
Dominica,5,North America,542651896
Dominica,6,Dominica,70007
Dominica,6,North America,570313843
Dominica,7,Dominica,71995
Dominica,7,North America,594164598
Dominican Republic,1,Dominican Republic,4475871
Dominican Republic,1,North America,310958735
Dominican Republic,2,Dominican Republic,5755800
Dominican Republic,2,North America,362537561
Dominican Republic,3,Dominican Republic,7129004
Dominican Republic,3,North America,414137421
Dominican Republic,4,Dominican Republic,8540791
Dominican Republic,4,North America,477528793
Dominican Republic,5,Dominican Republic,9775755
Dominican Republic,5,North America,532944896
Dominican Republic,6,Dominican Republic,10405832
Dominican Republic,6,North America,559978018
Dominican Republic,7,Dominican Republic,10999664
Dominican Republic,7,North America,583236929
DR Congo,1,DR Congo,20151733
DR Congo,1,Africa,345292615
DR Congo,2,DR Congo,26708686
DR Congo,2,Africa,454827691
DR Congo,3,DR Congo,35987541
DR Congo,3,Africa,602163088
DR Congo,4,DR Congo,48616317
DR Congo,4,Africa,770329715
DR Congo,5,DR Congo,66391257
DR Congo,5,Africa,988836815
DR Congo,6,DR Congo,78656904
DR Congo,6,Africa,1122445538
DR Congo,7,DR Congo,92853164
DR Congo,7,Africa,1267818646
Ecuador,1,Ecuador,6172215
Ecuador,1,South America,186774941
Ecuador,2,Ecuador,8135845
Ecuador,2,South America,233653161
Ecuador,3,Ecuador,10449837
Ecuador,3,South America,286696578
Ecuador,4,Ecuador,12626507
Ecuador,4,South America,337007775
Ecuador,5,Ecuador,14989585
Ecuador,5,South America,378088665
Ecuador,6,Ecuador,16195902
Ecuador,6,South America,396938494
Ecuador,7,Ecuador,17588595
Ecuador,7,South America,413941448
Egypt,1,Egypt,34781986
Egypt,1,Africa,330662362
Egypt,2,Egypt,43748556
Egypt,2,Africa,437787821
Egypt,3,Egypt,57214630
Egypt,3,Africa,580935999
Egypt,4,Egypt,71371371
Egypt,4,Africa,747574661
Egypt,5,Egypt,87252413
Egypt,5,Africa,967975659
Egypt,6,Egypt,97723799
Egypt,6,Africa,1103378643
Egypt,7,Egypt,107465134
Egypt,7,Africa,1253206676
